file,csv,rows,cols,seconds,error
a2_q18_A.mdx,a2_q18_A.csv,0,0,0.023,"com.activeviam.tech.core.api.exceptions.service.BadArgumentException: [400] The provided MDX query is invalid.
	at com.activeviam.activepivot.server.impl.private_.rest.query.impl.AJsonQueryService.executeMdxQuery(AJsonQueryService.java:76)
	at com.activeviam.activepivot.server.impl.private_.rest.query.impl.QueriesRestServiceController.lambda$mdxQuery$0(QueriesRestServiceController.java:79)
	at com.activeviam.tech.observability.private_.query.QueryEventMetadataBuilderImpl.runWithMetadata(QueryEventMetadataBuilderImpl.java:53)
	at com.activeviam.tech.observability.internal.query.QueryEventMetadataBuilder.runWithMetadata(QueryEventMetadataBuilder.java:39)
	at com.activeviam.activepivot.server.impl.private_.rest.query.impl.QueriesRestServiceController.mdxQuery(QueriesRestServiceController.java:77)
	at java.base/jdk.internal.reflect.DirectMethodHandleAccessor.invoke(Unknown Source)
	at java.base/java.lang.reflect.Method.invoke(Unknown Source)
	at org.springframework.web.method.support.InvocableHandlerMethod.doInvoke(InvocableHandlerMethod.java:258)
	at org.springframework.web.method.support.InvocableHandlerMethod.invokeForRequest(InvocableHandlerMethod.java:191)
	at org.springframework.web.servlet.mvc.method.annotation.ServletInvocableHandlerMethod.invokeAndHandle(ServletInvocableHandlerMethod.java:118)
	at org.springframework.web.servlet.mvc.method.annotation.RequestMappingHandlerAdapter.invokeHandlerMethod(RequestMappingHandlerAdapter.java:991)
	at org.springframework.web.servlet.mvc.method.annotation.RequestMappingHandlerAdapter.handleInternal(RequestMappingHandlerAdapter.java:896)
	at org.springframework.web.servlet.mvc.method.AbstractHandlerMethodAdapter.handle(AbstractHandlerMethodAdapter.java:87)
	at org.springframework.web.servlet.DispatcherServlet.doDispatch(DispatcherServlet.java:1089)
	at org.springframework.web.servlet.DispatcherServlet.doService(DispatcherServlet.java:979)
	at org.springframework.web.servlet.FrameworkServlet.processRequest(FrameworkServlet.java:1014)
	at org.springframework.web.servlet.FrameworkServlet.doPost(FrameworkServlet.java:914)
	at jakarta.servlet.http.HttpServlet.service(HttpServlet.java:590)
	at org.springframework.web.servlet.FrameworkServlet.service(FrameworkServlet.java:885)
	at jakarta.servlet.http.HttpServlet.service(HttpServlet.java:658)
	at org.apache.catalina.core.ApplicationFilterChain.internalDoFilter(ApplicationFilterChain.java:195)
	at org.apache.catalina.core.ApplicationFilterChain.doFilter(ApplicationFilterChain.java:140)
	at org.apache.tomcat.websocket.server.WsFilter.doFilter(WsFilter.java:51)
	at org.apache.catalina.core.ApplicationFilterChain.internalDoFilter(ApplicationFilterChain.java:164)
	at org.apache.catalina.core.ApplicationFilterChain.doFilter(ApplicationFilterChain.java:140)
	at org.springframework.web.filter.CorsFilter.doFilterInternal(CorsFilter.java:91)
	at org.springframework.web.filter.OncePerRequestFilter.doFilter(OncePerRequestFilter.java:116)
	at org.apache.catalina.core.ApplicationFilterChain.internalDoFilter(ApplicationFilterChain.java:164)
	at org.apache.catalina.core.ApplicationFilterChain.doFilter(ApplicationFilterChain.java:140)
	at org.springframework.web.filter.CompositeFilter$VirtualFilterChain.doFilter(CompositeFilter.java:108)
	at org.springframework.web.filter.CompositeFilter$VirtualFilterChain.doFilter(CompositeFilter.java:108)
	at org.springframework.security.web.ObservationFilterChainDecorator$FilterObservation$SimpleFilterObservation.lambda$wrap$1(ObservationFilterChainDecorator.java:490)
	at org.springframework.security.web.ObservationFilterChainDecorator.lambda$wrapUnsecured$1(ObservationFilterChainDecorator.java:91)
	at org.springframework.security.web.FilterChainProxy.doFilterInternal(FilterChainProxy.java:219)
	at org.springframework.security.web.FilterChainProxy.doFilter(FilterChainProxy.java:191)
	at org.springframework.web.filter.CompositeFilter$VirtualFilterChain.doFilter(CompositeFilter.java:113)
	at org.springframework.web.filter.ServletRequestPathFilter.doFilter(ServletRequestPathFilter.java:52)
	at org.springframework.web.filter.CompositeFilter$VirtualFilterChain.doFilter(CompositeFilter.java:113)
	at org.springframework.web.filter.CompositeFilter.doFilter(CompositeFilter.java:74)
	at org.springframework.security.config.annotation.web.configuration.WebSecurityConfiguration$CompositeFilterChainProxy.doFilter(WebSecurityConfiguration.java:319)
	at org.springframework.web.filter.CompositeFilter$VirtualFilterChain.doFilter(CompositeFilter.java:113)
	at org.springframework.web.servlet.handler.HandlerMappingIntrospector.lambda$createCacheFilter$4(HandlerMappingIntrospector.java:267)
	at org.springframework.web.filter.CompositeFilter$VirtualFilterChain.doFilter(CompositeFilter.java:113)
	at org.springframework.web.filter.CompositeFilter.doFilter(CompositeFilter.java:74)
	at org.springframework.security.config.annotation.web.configuration.WebMvcSecurityConfiguration$CompositeFilterChainProxy.doFilter(WebMvcSecurityConfiguration.java:240)
	at org.springframework.web.filter.DelegatingFilterProxy.invokeDelegate(DelegatingFilterProxy.java:362)
	at org.springframework.web.filter.DelegatingFilterProxy.doFilter(DelegatingFilterProxy.java:278)
	at org.apache.catalina.core.ApplicationFilterChain.internalDoFilter(ApplicationFilterChain.java:164)
	at org.apache.catalina.core.ApplicationFilterChain.doFilter(ApplicationFilterChain.java:140)
	at org.springframework.web.filter.ServerHttpObservationFilter.doFilterInternal(ServerHttpObservationFilter.java:110)
	at org.springframework.web.filter.OncePerRequestFilter.doFilter(OncePerRequestFilter.java:116)
	at org.apache.catalina.core.ApplicationFilterChain.internalDoFilter(ApplicationFilterChain.java:164)
	at org.apache.catalina.core.ApplicationFilterChain.doFilter(ApplicationFilterChain.java:140)
	at org.springframework.web.filter.CharacterEncodingFilter.doFilterInternal(CharacterEncodingFilter.java:201)
	at org.springframework.web.filter.OncePerRequestFilter.doFilter(OncePerRequestFilter.java:116)
	at org.apache.catalina.core.ApplicationFilterChain.internalDoFilter(ApplicationFilterChain.java:164)
	at org.apache.catalina.core.ApplicationFilterChain.doFilter(ApplicationFilterChain.java:140)
	at org.apache.catalina.core.StandardWrapperValve.invoke(StandardWrapperValve.java:167)
	at org.apache.catalina.core.StandardContextValve.invoke(StandardContextValve.java:90)
	at org.apache.catalina.authenticator.AuthenticatorBase.invoke(AuthenticatorBase.java:483)
	at org.apache.catalina.core.StandardHostValve.invoke(StandardHostValve.java:116)
	at org.apache.catalina.valves.ErrorReportValve.invoke(ErrorReportValve.java:93)
	at org.apache.catalina.core.StandardEngineValve.invoke(StandardEngineValve.java:74)
	at org.apache.catalina.connector.CoyoteAdapter.service(CoyoteAdapter.java:344)
	at org.apache.coyote.http11.Http11Processor.service(Http11Processor.java:398)
	at org.apache.coyote.AbstractProcessorLight.process(AbstractProcessorLight.java:63)
	at org.apache.coyote.AbstractProtocol$ConnectionHandler.process(AbstractProtocol.java:903)
	at org.apache.tomcat.util.net.NioEndpoint$SocketProcessor.doRun(NioEndpoint.java:1769)
	at org.apache.tomcat.util.net.SocketProcessorBase.run(SocketProcessorBase.java:52)
	at org.apache.tomcat.util.threads.ThreadPoolExecutor.runWorker(ThreadPoolExecutor.java:1189)
	at org.apache.tomcat.util.threads.ThreadPoolExecutor$Worker.run(ThreadPoolExecutor.java:658)
	at org.apache.tomcat.util.threads.TaskThread$WrappingRunnable.run(TaskThread.java:63)
	at java.base/java.lang.Thread.run(Unknown Source)
Caused by: com.activeviam.activepivot.core.intf.api.mdx.MdxException: -- Q18: For 2023, show Reading Events by Quarter for Vienna, Berlin, Moscow, and London (all
-- parameters). Return the four cities on rows and the four quarters of 2023 (Q1–Q4) on columns.

SELECT
    {
        [Time].[quarter_num].&[1],
        [Time].[quarter_num].&[2],
        [Time].[quarter_num].&[3],
        [Time].[quarter_num].&[4]
    } ON COLUMNS,

    {
        [dim_city].[Geo].[city_name].&[Vienna],
        [dim_city].[Geo].[city_name].&[Berlin],
        [dim_city].[Geo].[city_name].&[Moscow],
        [dim_city].[Geo].[city_name].&[London]
    } ON ROWS

FROM [AirQ Cube]

WHERE (
    [Time].[year_num].&[2023],
    [Me
	at com.activeviam.activepivot.mdx.impl.internal.parser.impl.MdxParsingUtils.parseMDX(MdxParsingUtils.java:74)
	at com.activeviam.activepivot.server.impl.private_.rest.query.impl.AJsonQueryService.executeMdxQuery(AJsonQueryService.java:74)
	... 72 more
Caused by: com.activeviam.activepivot.mdx.intf.api.MdxRuntimeException: Lexer failure: line 23:7 mismatched character <EOF> expecting ]
	at com.activeviam.activepivot.mdx.impl.private_.parser.impl.MDXLexer.emitErrorMessage(MDXLexer.java:114)
	at org.antlr.runtime.BaseRecognizer.displayRecognitionError(BaseRecognizer.java:194)
	at org.antlr.runtime.Lexer.reportError(Lexer.java:275)
	at org.antlr.runtime.Lexer.nextToken(Lexer.java:99)
	at org.antlr.runtime.BufferedTokenStream.fetch(BufferedTokenStream.java:143)
	at org.antlr.runtime.BufferedTokenStream.sync(BufferedTokenStream.java:137)
	at org.antlr.runtime.CommonTokenStream.consume(CommonTokenStream.java:71)
	at org.antlr.runtime.BaseRecognizer.match(BaseRecognizer.java:106)
	at com.activeviam.activepivot.mdx.impl.private_.parser.impl.MDXParser.exp_list(MDXParser.java:8043)
	at com.activeviam.activepivot.mdx.impl.private_.parser.impl.MDXParser.post_fixable_term(MDXParser.java:7233)
	at com.activeviam.activepivot.mdx.impl.private_.parser.impl.MDXParser.post_fixed_term(MDXParser.java:6781)
	at com.activeviam.activepivot.mdx.impl.private_.parser.impl.MDXParser.unary(MDXParser.java:6644)
	at com.activeviam.activepivot.mdx.impl.private_.parser.impl.MDXParser.is_check(MDXParser.java:6517)
	at com.activeviam.activepivot.mdx.impl.private_.parser.impl.MDXParser.colon(MDXParser.java:6428)
	at com.activeviam.activepivot.mdx.impl.private_.parser.impl.MDXParser.pow(MDXParser.java:6339)
	at com.activeviam.activepivot.mdx.impl.private_.parser.impl.MDXParser.mult(MDXParser.java:6213)
	at com.activeviam.activepivot.mdx.impl.private_.parser.impl.MDXParser.add(MDXParser.java:6085)
	at com.activeviam.activepivot.mdx.impl.private_.parser.impl.MDXParser.existing_op(MDXParser.java:5982)
	at com.activeviam.activepivot.mdx.impl.private_.parser.impl.MDXParser.comp_relation(MDXParser.java:5874)
	at com.activeviam.activepivot.mdx.impl.private_.parser.impl.MDXParser.not_relation(MDXParser.java:5774)
	at com.activeviam.activepivot.mdx.impl.private_.parser.impl.MDXParser.and_relation(MDXParser.java:5665)
	at com.activeviam.activepivot.mdx.impl.private_.parser.impl.MDXParser.xor_relation(MDXParser.java:5576)
	at com.activeviam.activepivot.mdx.impl.private_.parser.impl.MDXParser.or_relation(MDXParser.java:5487)
	at com.activeviam.activepivot.mdx.impl.private_.parser.impl.MDXParser.value_expression(MDXParser.java:5431)
	at com.activeviam.activepivot.mdx.impl.private_.parser.impl.MDXParser.expression(MDXParser.java:5296)
	at com.activeviam.activepivot.mdx.impl.private_.parser.impl.MDXParser.slicer_specification(MDXParser.java:5019)
	at com.activeviam.activepivot.mdx.impl.private_.parser.impl.MDXParser.select_block(MDXParser.java:2322)
	at com.activeviam.activepivot.mdx.impl.private_.parser.impl.MDXParser.select_statement(MDXParser.java:2174)
	at com.activeviam.activepivot.mdx.impl.private_.parser.impl.MDXParser.mdx_statement(MDXParser.java:470)
	at com.activeviam.activepivot.mdx.impl.internal.parser.impl.MdxParsingUtils.parseMDX(MdxParsingUtils.java:68)
	... 73 more
"
a2_q32.mdx,a2_q32.csv,10,4,0.179,
a2_q33.mdx,a2_q33.csv,20,6,0.268,
